2024-12-12 15:47:04,389 - INFO - IA inicializada.
2024-12-12 15:47:05,084 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:47:05,085 - DEBUG - Atualizando mapa na posição: {(7, 7): []}
2024-12-12 15:47:07,959 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:47:07,960 - DEBUG - Atualizando mapa na posição: {(7, 7): []}
2024-12-12 15:47:08,769 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:47:08,769 - DEBUG - Atualizando mapa na posição: {(7, 7): []}
2024-12-12 15:48:43,116 - INFO - IA inicializada.
2024-12-12 15:48:43,848 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:48:43,848 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:48:44,393 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:48:44,393 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:48:44,939 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:48:44,939 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:48:45,484 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:48:45,484 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:48:46,030 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:48:46,030 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:48:46,575 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:48:46,575 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:48:47,120 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:48:47,120 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:48:47,664 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:48:47,664 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:48:48,209 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:48:48,209 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:48:48,754 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:48:48,754 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:48:49,300 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:48:49,300 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:48:49,845 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:48:49,845 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:48:50,390 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:48:50,390 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:48:50,935 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:48:50,935 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:48:51,481 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:48:51,481 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:48:52,025 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
2024-12-12 15:48:52,025 - ERROR - Formato inválido de posicao_atual: {(7, 7): []}
2024-12-12 15:48:52,569 - DEBUG - Escolhendo movimento a partir da posição {(7, 7): []}.
